Food Name	ORAC Value (Per 100g)
Golden Berries / Cape Gooseberries / Inca Berries	3874
100% Cranberry Juice Blend	865
Acai Berry Pulp/Skin/Puree Powder	102700
Acai Juice Blends / Bowls	1767
Agave, Dried (Southwest)	7524
Allspice, Ground	100400
Almonds, Nuts	4454
Apple Cider Vinegar	564
Apple Cider Vinegar and Honey	270
Apple Juice, Canned or Bottled	414
Apple Pie	190
Apples With Skin, Raw	3049
Apples Without Skin, Raw	2573
Applesauce Babyfood, Strained	4123
Applesauce, Unsweetened	1965
Apricots, Raw	1110
Artichokes, Boiled	9416
Artichokes, Canned	4760
Artichokes, Globe or French, Raw	6552
Artichokes, Microwaved	9402
Arugula (Rocket), Raw	1904
Ashwagandha Root, Dried	8487
Asparagus, Cooked, Boiled, Drained	1644
Asparagus, Raw	2252
Astaxanthin Supplements (Isolated From Microalgae)	2822200
Astragalus Root, Dried	17773
Aunt Jemima Waffles, Frozen	170
Baby Carrots, Raw	436
Babyfood, Apple and Blueberry, Junior Version	4822
Babyfood, Pear Juice	414
Bacopa, Dried (Standardized Extract)	169800
Baking Chocolate Squares, Unsweetened	49944
Banana Babyfood	2658
Bananas, Nam-Wa Variety	260
Bananas, Raw	795
Baobab Fruit Powder, Dried	140000
Barley Flour, Wholemeal	1190
Basil Spice, Dried	61063
Basil, Fresh	4805
Beef Hot Dogs - Meat	470
Beef Liver, Frozen - Meat	710
Beef Steak - Meat	10
Beet Greens, Raw	1946
Beets, Raw	1776
Betty Crocker Chocolate Cake Mix, Prepared	430
Bibb Butter Lettuce (Incl. Boston), Raw	1423
Black Beans, Boiled	2249
Black Beans, Raw	8494
Black Cherry Juice	2370
Black Chia Seeds, Raw	9800
Black Cohosh Root, Dried	126495
Black Currants (European), Raw	7957
Black Diamond Plums, Raw	7581
Black Eyed Peas (Cowpeas), Raw	4343
Black Grapes	1746
Black Olives	350
Black Pepper Spice	34053
Black Quinoa, Uncooked	4800
Black Raspberries, Raw	19220
Black Raspberry Juice	10460
Black Rice, Purple Forbidden Rice, Uncooked	2125
Black Sorghum Bran	100800
Black Sorghum Grain	21900
Black Tea, Bottled	313
Black Tea, Brewed	1128
Black Turtle Beans, Raw	6416
Blackberries, Raw	5905
Blue Corn Mush With Ash (Navajo)	684
Blueberries, Raw	4669
Blueberry Juice	2359
Blueberry Muffins	460
Brazil Nuts, Unblanched	1419
Brazilian Grape Tree / Jabuticaba Fruit	1511
Brazilian Grape Tree / Jabuticaba Fruit, Fresh Skin	5230
Brazilian Grape Tree / Jabuticaba Fruit, Skin Extract	25514
Brewed Arabica Coffee, Dark Roast	2690
Brewed Arabica Coffee, Light Roast	2450
Brewed Arabica Coffee, Medium Roast	2780
Broccoli Rabe, Cooked	1590
Broccoli Rabe, Raw	3083
Broccoli, Boiled	2160
Broccoli, Raw	1510
Brown Rice, Uncooked	330
Brussels Sprouts, Raw	1330
Bud Light Beer	80
Budweiser Beer	150
Burdock Root / Gobo, Raw	6747
Burger King Chicken Nuggets, Fried - Meat	120
Butter	730
Butternut Squash, Raw	396
Butternut Whole Grain Bread	2104
Button Mushrooms / White Mushrooms, Raw	691
Cabbage, Boiled	856
Cabbage, Raw	529
Cabernet Sauvignon Red Wine	4523
Camu Camu Powder	52000
Canned Peaches	436
Canned Tomato Sauce / Jarred Spaghetti Sauce	694
Canned Tuna Fish In Water	90
Canola Oil	460
Cantaloupe Melon, Raw	319
Cardamom Spice	2764
Carrots, Boiled	326
Carrots, Raw	697
Cashew Apple Fruit	436
Cashews, Nuts	1948
Cauliflower, Boiled	739
Cauliflower, Frozen & Unprepared	620
Cauliflower, Raw	870
Celery, Raw	552
Celeste Cheese Pizza, Frozen	150
Ceylon Tea, Brewed	1210
Chaga Mushroom Extract	146700
Chervil / French Parsley, Dried	17670
Chestnuts With Pellicle	4670
Chestnuts Without Pellicle	750
Chicken Drumstick Without Skin, Grilled - Meat	650
Chiilchin / Sumac Berries / Lemonade Berry Navajo Tea Beverage	740
Chili Powder Spice	23636
Chives, Raw	2094
Chocolate Brownies	600
Chocolate Chip Cookies	1290
Chocolate Syrup	6330
Chokeberry (Aronia Berries), Raw	16062
Chyawanprash	35700
Cilantro Leaves (Coriander), Raw	5141
Cinnamon Spice, Ground	131420
Cloudberry (Knotberries), Raw	2530
Cocoa Powder, Unsweetened	55653
Coconut Flakes, Sweetened	90
Coconut Oil	1070
Coffee Cherry (Cascara) Powder	343900
Concord Grape Juice	2389
Cooked Agave (Southwest)	3074
Cooked Tomatoes, Red Ripe	423
Corn Flakes Cereal	2359
Corn Oil	340
Cranberries, Raw	9090
Cranberry Concord Grape Juice	1480
Crimini Mushrooms (Italian Brown), Raw	951
Crowberry (Black Crowberries), Raw	7890
Cucumber With Peel / Skin, Raw	232
Cucumber Without Skin / Peeled, Raw	140
Cumin Seed Spice	50372
Curry Spices Powder	48504
Dandelion Greens, Dried	9666
Dandelion Root, Dried	15200
Dark Chocolate Candies	20816
Deglet Noor Dates	3895
DiGiorno Rising Crust Cheese Pizza, Frozen	210
Dill Weed, Fresh	4392
Domino's Cheese Pizza, Classic Hand-Tossed	200
Dragon's Blood (Croton lechleri)	2897110
Dried Apples (40% Moisture)	6681
Dried Apricots 40% Moisture)	3234
Dried Peaches (40% Moisture)	4222
Dried Pears (40% Moisture)	9496
Dutch Chocolate Powder	40200
Early Grey Tea, Brewed	950
Egg Beaters	0
Egg Whites	10
Egg Yolk	20
Egg, Whole	20
Eggo Buttermilk Pancakes	100
Eggplant, Boiled	245
Eggplant, Raw	932
Elderberries, Raw	14697
English Walnuts	13541
Extra Sweet Pineapple, Raw	943
Extra Virgin Olive Oil	372
Fennel Bulb, Raw	307
Fenugreek Seeds, Raw	2090
Figs, Raw	3383
Fried Bacon - Meat	850
Fried Chicken With Skin, Frozen - Meat	50
Fried Chicken Without Skin, Frozen - Meat	60
Frozen Broccoli Spears, Unprepared	496
Frozen Spinach (Chopped or Leaf), Unprepared	1687
Fuji Apples With Skin, Raw	2589
Gala Apples With Skin, Raw	2828
Garbanzo Beans / Chickpea / Bengal Gram, Raw	847
Garlic Powder Spice	6665
Garlic, Raw	5708
Ginger Root, Raw	14840
Ginger Spice, Ground	39041
Ginkgo Biloba Supplements	35850
Goji Berry (Wolfberries), Raw	3290
Golden Apple / Bael Fruit (Aegle Marmelos)	17933
Golden Delicious Apples With Skin, Raw	2670
Golden Delicious Apples Without Skin, Raw	2210
Golden Kiwi (Yellow Kiwi), Raw	1210
Golden Raisins, Seedless	10450
Gooseberries, Raw	3332
Gotu Kola Leaves, Dried	69978
Granny Smith Apples With Skin, Raw	3898
Grape Seed Extract	108130
Green Beans / String Beans, Canned	290
Green Beans / String Beans, Raw	799
Green Bell Peppers, Raw	935
Green Kale, Raw	1770
Green Leaf Lettuce, Raw	1532
Green Olives	1010
Green Pears With Skin/Peel, Raw	2201
Green Peas, Canned	120
Green Peas, Fresh & Raw	260
Green Peas, Frozen & Unprepared	600
Green Peppers, Sauteed	615
Green Split Peas, Raw	524
Green Tea, Bottled	520
Green Tea, Brewed	1253
Grilled Chicken Drumstick With Skin - Meat	440
Ground Cloves Spice	290283
Ground Flaxseed	1130
Guinness Stout Beer	210
Hamburger Meat Patty, Fried	110
Hass Avocados, Raw	1922
Hazelnuts or Filberts	9645
Heineken Lager Beer	130
Hibiscus Tea, Brewed	6990
Honey	130
Honey Vinegar / Honey Wine Vinegar	225
Honeydew Melon, Raw	253
Hot Dogs - Meat	300
Iceberg Lettuce / Crisphead Lettuce, Raw	438
Indian Gooseberry (Amla Berries), Dried	261500
Instant White Rice, Cooked	30
Jalapeno Peppers, Dried	8250
