NDB_NO	Description	Weight (g)	Measure	DHA (g Per Weight)	EPA (g Per Weight)	Total Omega-3 (g Per Weight)	Total fat (g Per Weight)
83110	Fish, mackerel, salted	80	1.0 piece (5-1/2” x 1-1/2” x 1/2”)	2.372	1.295	3.667	20.08
15040	Fish, herring, Atlantic, cooked, dry heat	143	1.0 fillet	1.58	1.3	2.88	16.57
15046	Fish, mackerel, Atlantic, raw	112	1.0 fillet	1.569	1.006	2.575	15.56
15052	Fish, mackerel, spanish, cooked, dry heat	146	1.0 fillet	1.39	0.429	1.819	9.23
15197	Fish, herring, Pacific, cooked, dry heat	144	1.0 fillet	1.272	1.788	3.06	25.62
15239	Fish, salmon, coho, farmed, cooked, dry heat	143	1.0 fillet	1.246	0.583	1.829	11.77
15237	Fish, salmon, Atlantic, farmed, cooked, dry heat	85	3.0 oz	1.238	0.587	1.825	10.5
15209	Fish, salmon, Atlantic, wild, cooked, dry heat	85	3.0 oz	1.215	0.349	1.564	6.91
15094	Fish, shad, american, raw	85	3.0 oz	1.123	0.923	2.046	11.7
15113	Fish, tilefish, cooked, dry heat	150	0.5 fillet	1.099	0.258	1.357	7.04
15223	Fish, whitefish, mixed species, cooked, dry heat	85	3.0 oz	1.025	0.345	1.37	6.38
15118	Fish, tuna, fresh, bluefin, cooked, dry heat	85	3.0 oz	0.97	0.309	1.279	5.34
15076	Fish, salmon, Atlantic, wild, raw	85	3.0 oz	0.948	0.273	1.221	5.39
15236	Fish, salmon, Atlantic, farmed, raw	85	3.0 oz	0.938	0.733	1.671	11.41
15188	Fish, bass, striped, cooked, dry heat	124	1.0 fillet	0.93	0.269	1.199	3.71
15051	Fish, mackerel, spanish, raw	85	3.0 oz	0.86	0.28	1.14	5.36
15078	Fish, salmon, chinook, raw	85	3.0 oz	0.802	0.857	1.659	8.87
15130	Fish, whitefish, mixed species, raw	85	3.0 oz	0.8	0.269	1.069	4.98
15050	Fish, mackerel, Pacific and jack, mixed species, raw	85	3.0 oz	0.792	0.433	1.225	6.71
15208	Fish, sablefish, cooked, dry heat	85	3.0 oz	0.782	0.737	1.519	16.68
15005	Fish, bluefish, raw	150	1.0 fillet	0.779	0.378	1.157	6.36
15189	Fish, bluefish, cooked, dry heat	117	1.0 fillet	0.778	0.378	1.156	6.36
15001	Fish, anchovy, european, raw	85	3.0 oz	0.774	0.457	1.231	4.11
15089	Fish, sardine, Pacific, canned in tomato sauce, drained solids with bone	89	1.0 cup	0.769	0.473	1.242	9.3
15041	Fish, herring, Atlantic, pickled	140	1.0 cup	0.764	1.18	1.944	25.2
15088	Fish, sardine, Atlantic, canned in oil, drained solids with bone	149	1.0 cup, drained	0.758	0.705	1.463	17.06
15117	Fish, tuna, fresh, bluefin, raw	85	3.0 oz	0.757	0.241	0.998	4.17
15116	Fish, trout, rainbow, wild, cooked, dry heat	143	1.0 fillet	0.744	0.669	1.413	8.32
15082	Fish, salmon, coho, wild, cooked, moist heat	85	3.0 oz	0.706	0.462	1.168	6.38
15238	Fish, salmon, coho, farmed, raw	85	3.0 oz	0.698	0.327	1.025	6.52
15181	Fish, salmon, pink, canned, without salt, solids with bone and liquid	85	3.0 oz	0.685	0.718	1.403	5.14
15111	Fish, swordfish, cooked, dry heat	85	3.0 oz	0.656	0.108	0.764	6.74
15087	Fish, salmon, sockeye, canned, drained solids	85	3.0 oz	0.637	0.44	1.077	6.28
15260	Fish, salmon, pink, canned, drained solids	85	3.0 oz	0.632	0.284	0.916	4.27
15210	Fish, salmon, chinook, cooked, dry heat	85	3.0 oz	0.618	0.858	1.476	11.37
15047	Fish, mackerel, Atlantic, cooked, dry heat	88	1.0 fillet	0.615	0.444	1.059	15.67
15074	Fish, sablefish, raw	85	3.0 oz	0.61	0.575	1.185	13.01
15012	Fish, caviar, black and red, granular	16	1.0 tbsp	0.608	0.439	1.047	2.86
15080	Fish, salmon, chum, canned, drained solids with bone	85	3.0 oz	0.597	0.402	0.999	4.67
15180	Fish, salmon, chum, canned, without salt, drained solids with bone	85	3.0 oz	0.597	0.402	0.999	4.67
15264	Salmon, sockeye, canned, drained solids, without skin and bones	85	3.0 oz	0.594	0.371	0.965	4.99
15253	Salmon, sockeye, canned, total can contents	85	3.0 oz	0.591	0.452	1.043	6.09
