NDB_No	Nutr_No	Flav_Val (mg Per 100g)
1102	734	2.18
1102	735	0
1102	736	0
1102	737	0
1102	738	0
2003	734	0
2003	735	0
2003	736	0
2003	737	0
2003	738	0
2009	734	0
2009	735	0
2009	736	0
2009	737	0
2009	738	0
2010	734	256.29
2010	735	1252.2
2010	736	2608.63
2010	737	1458.32
2010	738	2508.78
2011	734	0
2011	735	0
2011	736	0
2011	737	0
2011	738	0
2015	734	9.5
2015	735	22.88
2015	736	41.78
2015	737	0
2015	738	0
2020	734	0
2020	735	0
2020	736	0
2020	737	0
2020	738	0
2021	734	0
2021	735	0
2021	736	0
2021	737	0
2021	738	0
2024	734	0
2024	735	0
2024	736	0
2024	737	0
2024	738	0
2026	734	0
2026	735	0
2026	736	0
2026	737	0
2026	738	0
2027	734	0
2027	735	0
2027	736	0
2027	737	0
2027	738	0
2028	734	0
2028	735	0
2028	736	0
2028	737	0
2028	738	0
2029	734	0
2029	735	0
2029	736	0
2029	737	0
2029	738	0
2030	734	0
2030	735	0
2030	736	0
2030	737	0
2030	738	0
2033	734	0
2033	735	0
2033	736	0
2033	737	0
2033	738	0
2043	734	0
2043	735	0
2043	736	0
2043	737	0
2043	738	0
3091	734	0
3091	735	0
3091	736	0
3091	737	0
3091	738	0
3104	734	0
3104	735	0
3104	736	0
3104	737	0
3104	738	0
3116	734	6.4
3116	735	3.6
3116	736	9.8
3116	737	6.1
3116	738	0
3121	734	0
3121	735	0
3121	736	0
3121	737	0
3121	738	0
3130	734	3.8
3130	735	2.8
3130	736	8.75
3130	737	5.75
3130	738	0
3132	734	2.65
3132	735	1.8
3132	736	5.7
3132	737	3.65
3132	738	0
3165	734	5.1
3165	735	2.8
3165	736	7.8
3165	737	5.2
3165	738	2.2
3166	734	0.19
3166	735	0.19
3166	736	0.47
3166	737	0.09
3166	738	0
3181	734	9.3
3181	735	4.5
3181	736	4.1
3181	737	0
3181	738	0
3225	734	2.7
3225	735	1.7
3225	736	5.2
3225	737	2.9
3225	738	0
9003	734	13.23
9003	735	8.04
9003	736	24.68
9003	737	19.21
9003	738	28.8
9004	734	12.28
9004	735	6.48
9004	736	22.75
9004	737	18.92
9004	738	25.57
9016	734	4.4
9016	735	2.7
9016	736	13.31
9016	737	0.06
9016	738	0
9021	734	9.37
9021	735	12.41
9021	736	4.9
9021	737	2.2
9021	738	0.8
9037	734	1.18
9037	735	1.12
9037	736	3.35
9037	737	0.52
9037	738	0
9040	734	0.38
9040	735	0.42
9040	736	1.86
9040	737	0
9040	738	0
9042	734	4.45
9042	735	2.11
9042	736	7.27
9042	737	4.24
9042	738	1.51
9050	734	6.44
9050	735	4.91
9050	736	20.52
9050	737	14.32
9050	738	136.04
9052	734	4.83
9052	735	1.96
9052	736	3.53
9052	737	0.28
9054	734	6.07
9054	735	5.37
9054	736	18.7
9054	737	3.85
9070	734	3.45
9070	735	2.71
9070	736	6.65
9070	737	1.82
9070	738	0
9078	734	17.71
9078	735	16.35
9078	736	56.84
9078	737	46.21
9078	738	217.64
9079	734	7.7
9081	734	4.43
9083	734	2.91
9083	735	2.19
9083	736	7.75
9083	737	7.21
9083	738	135.08
9086	734	14.2
9086	735	4.49
9087	734	1.84
9087	735	3.02
9087	736	5.88
9087	737	0
9087	738	0
9088	734	10.62
9088	735	5.63
9088	736	10.8
9088	737	0
9088	738	0
9089	734	0.01
9089	735	0
9089	736	0
9089	737	0
9089	738	0
9107	734	1.72
9107	735	1.45
9107	736	4.76
9107	737	4.74
9107	738	68.88
9112	734	0
9112	735	0
9112	736	0
9112	737	0
9112	738	0
9124	734	0
9135	734	3.18
9135	735	1.19
9135	736	7.49
9135	737	6.46
9135	738	28.37
9148	734	0.63
9148	735	0.51
9148	736	1.25
9148	737	0.17
9148	738	0
9159	734	0
9159	735	0
9159	736	0
9159	737	0
9159	738	0
9176	734	1.8
9176	735	1.4
