NDB_No	Nutr_No	Flav_Val (mg Per 100g)
1103	749	0.82
1103	750	0
1103	751	0.26
1103	752	0
1103	753	0
1103	770	0
1103	773	0
1103	786	0
1103	788	0.05
1103	789	0.12
1103	794	0
2007	770	78.65
2007	773	762.4
2023	762	0
2023	770	3.5
2023	773	0
2023	786	0
2023	789	0
2029	770	4503.5
2029	773	19.75
2029	785	331.24
2029	786	0
2029	789	0
2037	786	205.48
2044	759	0
2044	770	0
2044	773	0
2044	785	0
2044	786	0
2044	789	0
2045	759	0
2045	770	0
2045	773	0
2045	785	43.5
2045	786	13.33
2045	788	0.7
2045	789	55.15
2049	759	0
2049	762	0
2049	770	2.5
2049	773	45.25
2049	785	0
2049	786	0
2049	789	0
2054	786	131.34
2054	789	172.55
2063	759	0
2063	762	24.86
2063	770	0.55
2063	773	2
2063	785	0
2063	786	0
2063	789	0
2064	758	30.92
2064	759	10.16
2064	770	5.39
2064	773	12.66
2064	785	0
2064	786	0
2064	789	0
4053	770	0.09
4053	773	0.12
6159	786	0
6159	789	0.14
6931	786	0.01
6931	789	0.91
9001	731	15.71
9001	743	6.84
9001	770	0
9001	773	0
9001	786	1.05
9001	788	0
9001	789	4.74
9003	731	1.57
9003	740	0
9003	741	0
9003	742	0
9003	743	0
9003	745	0.02
9003	749	1.3
9003	750	0.26
9003	751	7.53
9003	752	0.01
9003	753	0.19
9003	759	0
9003	762	0
9003	770	0
9003	773	0.12
9003	786	0.14
9003	788	0
9003	789	4.01
9003	794	0
9004	731	2.17
9004	740	0
9004	741	0.01
9004	742	0
9004	743	0.01
9004	745	0
9004	749	1.23
9004	750	0.14
9004	751	6.25
9004	752	0
9004	753	0.03
9004	759	0
9004	762	0
9004	770	0
9004	773	0.01
9004	786	0.01
9004	788	0.01
9004	789	1.05
9004	794	0
9016	731	0.02
9016	749	1.25
9016	750	0
9016	751	4.71
9016	752	0
9016	753	0
9016	758	0
9016	759	0
9016	762	0
9016	770	0
9016	773	0
9016	786	0
9016	788	0.01
9016	789	0.58
9016	794	0
9019	749	0.69
9019	750	0
9019	751	5.41
9019	752	0
9019	753	0
9019	770	0
9019	773	0
9019	786	0
9019	788	0
9019	789	2
9019	794	0
9021	749	3.67
9021	750	0
9021	751	4.74
9021	752	0
9021	753	0
9021	770	0
9021	773	0
9021	786	0.63
9021	788	0
9021	789	1.63
9021	794	0
9023	770	0
9023	773	0
9023	786	0
9023	788	0
9023	789	0
9037	731	0.33
9037	740	0
9037	741	0
9037	742	0
9037	743	0
9037	745	0
9037	749	0
9037	750	0
9037	751	0.37
9037	752	0
9037	753	0.15
9037	759	0
9037	762	0
9037	770	0
9037	773	0
9037	786	0
9037	788	0
9037	789	0
9037	794	0
9040	731	0
9040	740	0
9040	741	0
9040	742	0
9040	743	0
9040	745	0
9040	749	6.1
9040	750	0
9040	751	0.02
9040	752	0
9040	753	0
9040	759	0
9040	762	0
9040	770	0
9040	773	0
9040	786	0.11
9040	788	0.01
9040	789	0.06
9040	794	0
9042	731	99.95
9042	740	0
9042	741	0
9042	742	0
9042	743	0.45
9042	745	0.21
9042	749	37.06
9042	750	0.1
9042	751	4.66
9042	752	0
9042	753	0.68
9042	759	0
9042	762	0
9042	770	0
9042	773	0
9042	786	0.27
9042	788	0.67
9042	789	3.58
9042	794	0
9050	731	8.46
9050	740	31.53
9050	741	35.43
9050	742	67.59
9050	743	0
9050	745	20.29
9050	749	5.29
9050	750	0.66
9050	751	0.62
9050	752	0
9050	753	0
9050	759	0
9050	762	0
9050	770	0
9050	773	0.2
9050	786	1.66
9050	788	1.3
9050	789	7.67
9050	794	0.12
9054	731	4.36
9054	740	18.16
9054	741	21.59
9054	742	49.65
9054	743	0.02
9054	745	0.47
9054	770	0.01
9054	773	1.8
9054	786	1.1
9054	788	1.76
9054	789	4.64
9063	731	32.57
9063	745	0.87
9063	749	0.3
9063	751	3.83
9063	770	0
9063	773	0
9063	785	0.72
9063	786	0.24
9063	788	0
9063	789	1.47
9068	731	10.13
9068	743	0
9068	745	1.11
9068	785	2.64
9068	786	0.15
9068	789	0.13
9070	731	30.21
9070	740	0
9070	741	0
9070	742	0
9070	743	0.27
9070	745	1.5
9070	749	4.36
9070	750	0.34
9070	751	5
9070	752	0.05
9070	753	0
9070	759	0
9070	762	0
9070	770	0
9070	773	0
9070	785	0.05
9070	786	0.24
9070	788	0.05
9070	789	2.29
9070	794	0
9078	731	46.43
9078	740	0
9078	741	7.67
9078	742	0.44
9078	743	0.32
9078	745	49.16
9078	749	0.39
9078	750	0.74
9078	751	4.37
9078	752	0
9078	753	0.97
9078	759	0
9078	762	0
9078	770	0
9078	786	0.12
9078	788	6.63
9078	789	14.84
9078	794	0
9079	731	0.6
9079	741	0.1
9079	743	0.02
9079	770	0.01
9079	773	0.02
9079	786	0.01
9079	788	2.4
9079	789	4.5
9081	731	0.1
9081	741	0.02
9081	743	0.02
9081	770	0.01
9081	773	0.02
9081	786	0.01
9081	788	2.7
9081	789	2.4
9083	731	62.46
9083	740	3.87
