NDB_No	Nutr_No	Isfl_Val (mg Per 100g)
1056	710	0
1056	711	0
1056	713	0
1077	710	0
1077	711	0
1077	713	0
1079	710	0
1079	711	0
1079	712	0
1079	713	0
1079	715	0.0001
1079	716	0
1116	710	0
1116	711	0
1116	713	0
1123	710	0.02
1123	711	0.02
1123	713	0.05
1123	714	0.05
1123	715	0.05
1123	716	0
2019	710	0.01
2019	711	0.01
2019	713	0.02
2019	714	0.01
2019	715	0.01
2019	716	0
2046	710	0
2046	711	0
2046	713	0
3841	710	0.73
3841	711	1.367272727
3841	712	0.117
3841	713	2.205454545
3843	710	6.033
3843	711	12.233
3843	712	2.7335
3843	713	25.81790909
3890	710	0.75
3890	711	1.6
3890	712	0.275
3890	713	2.625
3891	710	0.9764
3891	711	2.6922
3891	712	0.35
3891	713	3.8086
3893	710	5.7
3893	711	13.55
3893	712	2.05
3893	713	28.01428571
3931	710	7.225
3931	711	14.75
3931	712	3
3931	713	25
4044	710	0
4044	711	0
4044	712	0
4044	713	0
5323	710	0.25
5323	711	0.3
5323	712	0
5323	713	0.55
5327	710	0.2
5327	711	0.25
5327	712	0
5327	713	0.55
6016	710	0
6016	711	0.1
6016	712	0
6016	713	0.1
6019	710	0
6019	711	0
6019	712	0
6019	713	0
6043	710	0
6043	711	0
6043	712	0
6043	713	0
6065	710	0
6065	711	0
6065	712	0
6065	713	0
6071	710	0
6071	711	0
6071	712	0
6071	713	0
6075	710	0
6075	711	0
6075	712	0
6075	713	0.1
6118	710	0
6118	711	0
6118	712	0
6118	713	0
6119	710	0
6119	711	0
6119	712	0
6119	713	0
6121	710	0
6121	711	0
6121	712	0
6121	713	0
6122	710	0
6122	711	0
6122	712	0
6122	713	0
6125	710	0.15
6125	711	0.15
6125	712	0.05
6125	713	0.35
6175	710	6.1
6175	711	3.25
6175	712	0.55
6175	713	9.9
6183	710	0
6183	711	0
6183	712	0
6183	713	0
6194	710	0
6194	711	0
6194	712	0
6194	713	0
6419	710	0
6419	711	0
6419	712	0
6419	713	0
6419	715	0.0001
6419	716	0
6468	710	0
6468	711	0
6468	712	0
6468	713	0
6468	715	0
6468	716	0
6971	710	0.1
6971	711	0
6971	712	0
6971	713	0.2
6982	710	0.733333333
6982	711	0.433333333
6982	712	0.066666667
6982	713	1.233333333
6983	710	0
6983	711	0.3
6983	712	0
6983	713	0.4
7022	710	1
7022	711	0.8
7022	712	0.1
7022	713	1.9
7023	710	0.05
7023	711	0.05
7023	712	0
7023	713	0.15
7023	715	0.0006
7023	716	0.0001
7029	710	0
7029	711	0
7029	712	0
7029	713	0
7029	715	0.0003
7029	716	0.0001
7075	710	0.25
7075	711	0.4
7075	712	0
7075	713	0.7
7083	710	0
7083	711	0
7083	712	0
7083	713	0
7905	710	0
7905	711	0
7905	712	0
7905	713	0.1
7956	710	0
7956	711	0
7956	712	0
7956	713	0
7956	715	0.0002
7956	716	0.0004
8001	710	0
8001	711	0
8001	713	0
8013	710	0
8013	711	0
8013	712	0
8013	713	0
8013	715	0.0029
8013	716	0.0002
8020	710	0
8020	711	0
8020	713	0
8060	715	0.0005
8060	716	0.0002
8065	710	0
8065	711	0
8065	713	0
8067	710	0
8067	711	0
8067	713	0
8090	710	0
8090	711	0
8090	713	0
8102	710	0
8102	711	0
8102	713	0
8234	715	0.0004
8234	716	0
8385	710	41.9
8385	711	41.9
8385	712	10.2
8385	713	93.9
8390	710	0
8390	711	0
8390	712	0
8390	713	0
8393	710	8.4
8393	711	7.7
8393	712	1.4
8393	713	17.4
9003	710	0
9003	711	0
9003	712	0
9003	713	0
9003	715	0.0002
9003	716	0
9004	710	0
9004	711	0
9004	713	0
9005	710	0
9005	711	0
9005	713	0
9016	710	0
9016	711	0
